,player_id,reference_team,reference_date,team_id,p_firstname,p_lastname,p_age,p_nationality,season,month
329,3599,2659,2019-07-01 00:00:00,,,,,,2018.0,7
330,133594,605,2012-08-29 00:00:00,,,,,,2011.0,8
331,3602,7257,2021-07-01 00:00:00,,,,,,2020.0,7
332,4161,694,2013-08-30 00:00:00,,,,,,2012.0,8
333,278588,13855,2018-01-01 00:00:00,,,,,,2017.0,1
334,3592,2261,2019-08-21 00:00:00,,,,,,2018.0,8
335,4332,3336,2018-08-31 00:00:00,,,,,,2017.0,8
336,74580,605,2015-08-31 00:00:00,,,,,,2014.0,8
337,4028,3321,2014-01-24 00:00:00,,,,,,2013.0,1
338,14321,4356,2013-08-15 00:00:00,,,,,,2012.0,8
339,106917,574,2015-07-01 00:00:00,,,,,,2014.0,7
340,66978,3739,2017-08-17 00:00:00,,,,,,2016.0,8
341,3524,605,2019-08-20 00:00:00,,,,,,2018.0,8
342,31216,605,2021-07-23 00:00:00,,,,,,2020.0,7
343,30774,495,2021-07-01 00:00:00,,,,,,2020.0,7
344,74552,605,2016-01-08 00:00:00,,,,,,2015.0,1
345,57000,605,2016-08-05 00:00:00,,,,,,2015.0,8
346,66290,605,2017-08-31 00:00:00,,,,,,2016.0,8
347,3604,605,2017-01-30 00:00:00,,,,,,2016.0,1
348,3786,3325,2013-08-10 00:00:00,,,,,,2012.0,8
349,74628,4021,2018-06-21 00:00:00,,,,,,2017.0,6
350,3542,3320,2018-08-07 00:00:00,,,,,,2017.0,8
351,3536,708,2016-06-20 00:00:00,,,,,,2015.0,6
352,3598,3787,2019-06-04 00:00:00,,,,,,2018.0,6
353,3750,694,2013-07-26 00:00:00,,,,,,2012.0,7
354,210728,4375,2012-01-01 00:00:00,,,,,,2011.0,1
355,131382,5727,2015-01-01 00:00:00,,,,,,2014.0,1
356,74607,2542,2016-09-01 00:00:00,,,,,,2015.0,9
357,74517,627,2018-07-01 00:00:00,,,,,,2017.0,7
358,3538,605,2020-10-02 00:00:00,,,,,,2019.0,10
359,3590,680,2019-08-05 00:00:00,,,,,,2018.0,8
360,76349,4558,2017-06-17 00:00:00,,,,,,2016.0,6
361,210727,946,2012-08-15 00:00:00,,,,,,2011.0,8
362,7292,605,2021-07-23 00:00:00,,,,,,2020.0,7
363,10652,605,2015-07-08 00:00:00,,,,,,2014.0,7
364,100241,605,2020-10-02 00:00:00,,,,,,2019.0,10
365,137396,605,2019-08-31 00:00:00,,,,,,2018.0,8
366,3682,694,2017-09-29 00:00:00,,,,,,2016.0,9
367,74138,11147,2014-09-25 00:00:00,,,,,,2013.0,9
368,100398,3325,2012-07-01 00:00:00,,,,,,2011.0,7
369,3721,3318,2017-08-01 00:00:00,,,,,,2016.0,8
370,74553,694,2013-08-30 00:00:00,,,,,,2012.0,8
371,74134,3319,2015-08-31 00:00:00,,,,,,2014.0,8
372,42951,2606,2017-07-27 00:00:00,,,,,,2016.0,7
374,3516,3317,2010-01-30 00:00:00,,,,,,2009.0,1
375,69190,7507,2019-09-10 00:00:00,,,,,,2018.0,9
376,145753,7507,2018-09-01 00:00:00,,,,,,2017.0,9
377,115767,15106,2015-01-01 00:00:00,,,,,,2014.0,1
378,210348,3885,2014-08-29 00:00:00,,,,,,2013.0,8
380,385976,20139,2011-08-01 00:00:00,,,,,,2010.0,8
382,160977,3885,2018-01-30 00:00:00,,,,,,2017.0,1
383,74504,627,2018-07-01 00:00:00,,,,,,2017.0,7
384,3603,3595,2022-07-01 00:00:00,,,,,,2021.0,7
385,3611,3320,2020-09-28 00:00:00,,,,,,2019.0,9
386,119355,3499,2022-08-19 00:00:00,,,,,,2021.0,8
402,145759,7507,2016-09-01 00:00:00,,,,,,2015.0,9
403,4275,3838,2015-09-11 00:00:00,,,,,,2014.0,9
404,210976,11147,2013-10-20 00:00:00,,,,,,2012.0,10
405,268119,3334,2015-09-11 00:00:00,,,,,,2014.0,9
406,3656,4671,2023-09-21 00:00:00,,,,,,2022.0,9
407,286675,17740,2022-09-29 00:00:00,,,,,,2021.0,9
408,338315,3334,2023-09-21 00:00:00,,,,,,2022.0,9
410,4274,3334,2018-08-01 00:00:00,,,,,,2017.0,8
411,341031,3334,2023-09-21 00:00:00,,,,,,2022.0,9
412,145758,11147,2013-10-20 00:00:00,,,,,,2012.0,10
413,286676,3836,2022-08-31 00:00:00,,,,,,2021.0,8
414,3461,20406,2023-07-01 00:00:00,,,,,,2022.0,7
416,80531,605,2021-08-28 00:00:00,,,,,,2020.0,8
418,3596,581,2020-02-01 00:00:00,,,,,,2019.0,2
419,3489,12832,2021-07-16 00:00:00,,,,,,2020.0,7
426,156144,605,2021-07-15 00:00:00,,,,,,2020.0,7
427,54647,214,2016-08-01 00:00:00,,,,,,2015.0,8
428,3920,3325,2019-07-02 00:00:00,,,,,,2018.0,7
429,27080,605,2018-08-31 00:00:00,,,,,,2017.0,8
430,3723,3318,2018-08-01 00:00:00,,,,,,2017.0,8
431,284890,9030,2022-01-10 00:00:00,,,,,,2021.0,1
432,54418,7858,2017-01-18 00:00:00,,,,,,2016.0,1
437,3606,616,2019-07-01 00:00:00,,,,,,2018.0,7
439,3608,9390,2019-08-01 00:00:00,,,,,,2018.0,8
444,137403,3885,2020-01-31 00:00:00,,,,,,2019.0,1
445,74610,3320,2016-08-15 00:00:00,,,,,,2015.0,8
447,3614,680,2020-01-07 00:00:00,,,,,,2019.0,1
448,3759,5499,2023-01-22 00:00:00,,,,,,2022.0,1
460,145754,3318,2011-08-31 00:00:00,,,,,,2010.0,8
461,268404,10726,2019-09-01 00:00:00,,,,,,2018.0,9
462,3553,3836,2023-09-15 00:00:00,,,,,,2022.0,9
463,3607,3326,2019-08-31 00:00:00,,,,,,2018.0,8
464,265515,3321,2021-07-01 00:00:00,,,,,,2020.0,7
