player_id,reference_team_id,reference_date
3632,694,2017-09-04
3477,2270,2020-09-26
3469,694,2022-07-01
3633,3339,2017-07-29
3689,3318,2017-08-31
4310,3336,2022-08-15
3480,3320,2023-01-31
71579,3320,2023-07-01
3635,694,2013-08-30
3496,3320,2019-07-31
3515,3320,2021-07-01
74606,3317,2018-08-20
163432,577,2023-08-01
404516,577,2023-09-19
128188,577,2023-08-25
195063,577,2023-07-03
335196,577,2022-10-01
3366,577,2022-08-22
290149,577,2022-07-17
3720,577,2023-07-20
144066,577,2023-08-31
3692,577,2022-07-14
31839,577,2023-07-10
147807,577,2023-08-23
27028,577,2023-01-12
3875,577,2023-08-15
189040,577,2023-08-08
3832,3339,2023-07-01
405938,577,2023-09-22
204200,577,2023-08-01
3913,3325,2018-08-23
3456,3329,2022-07-19
4280,3337,2018-01-20
137402,22247,2023-09-13
3651,2261,2018-08-31
74544,577,2012-07-01
3702,3329,2021-08-25
3500,3331,2020-10-07
76902,679,2021-07-01
73249,3361,2023-07-01
74562,577,2015-07-01
67260,2206,2017-01-01
78074,3319,2014-01-31
25843,3885,2017-06-15
41289,4450,2023-09-15
3605,1483,2022-07-01
3609,4552,2023-07-04
24639,685,2021-08-01
3491,577,2018-07-01
71375,577,2021-09-05
106968,577,2021-09-05
3940,3885,2018-01-25
146022,12423,2018-07-01
43044,4801,2023-01-01
91431,957,2023-07-01
106216,577,2013-01-30
14500,2256,2020-10-01
40622,2896,2021-07-01
55384,1401,2017-07-18
77076,4223,2023-01-01
80162,148,2023-04-06
80698,142,2017-01-02
127580,577,2022-08-24
169199,577,2024-01-05
16200,4322,2021-06-21
405233,577,2023-01-25
41828,577,2024-01-13
3953,577,2024-01-05
88597,577,2024-01-14
311563,577,2024-01-13
27386,577,2024-01-13
156439,577,2024-01-19
88560,577,2024-01-19
295287,577,2024-01-12
66905,577,2021-07-12
45384,3747,2022-07-01
14655,616,2020-01-01
3505,3578,2020-09-18
2154,1022,2014-08-01
3499,3578,2021-01-05
7476,1397,2022-01-24
66105,577,2018-07-01
87027,648,2019-02-02
55892,2589,2021-07-01
80099,4196,2020-02-01
14635,4659,2023-02-19
3698,10124,2019-07-01
125709,577,2020-01-31
11003,577,2022-08-15
3492,2589,2020-01-20
8713,624,2018-07-01
4016,3332,2015-09-11
3987,2261,2010-09-01
7282,1396,2017-07-01
93757,605,2020-01-31
211635,374,2011-01-01
145730,4346,2020-09-02
74594,4132,2016-07-01
199633,4633,2022-03-29
29772,2733,2019-01-06
110200,666,2015-07-01
4242,3334,2016-09-20
3784,3319,2020-01-24
3770,694,2020-08-15
3625,694,2013-08-30
4093,3320,2014-07-01
3899,605,2020-10-02
147958,9787,2020-11-06
180983,9809,2019-11-30
3610,3749,2019-07-01
4297,3325,2010-07-01
3627,605,2019-08-08
137453,605,2019-08-31
166369,2261,2013-01-30
210840,2261,2015-02-05
210954,3328,2011-08-31
211793,3382,2012-01-16
211801,3838,2015-09-01
211737,605,2012-08-31
105663,680,2018-06-01
3930,3322,2017-09-01
290561,12772,2021-01-30
301684,605,2021-01-31
284891,12250,2021-02-22
74673,2599,2019-10-07
134077,4333,2011-07-01
3595,1019,2019-08-28
3529,3321,2015-01-31
3599,2659,2019-07-01
133594,605,2012-08-29
3602,7257,2021-07-01
4161,694,2013-08-30
278588,13855,2018-01-01
3592,2261,2019-08-21
4332,3336,2018-08-31
74580,605,2015-08-31
4028,3321,2014-01-24
14321,4356,2013-08-15
106917,574,2015-07-01
66978,3739,2017-08-17
3524,605,2019-08-20
31216,605,2021-07-23
30774,495,2021-07-01
74552,605,2016-01-08
57000,605,2016-08-05
66290,605,2017-08-31
3604,605,2017-01-30
3786,3325,2013-08-10
74628,4021,2018-06-21
3542,3320,2018-08-07
3536,708,2016-06-20
3598,3787,2019-06-04
3750,694,2013-07-26
210728,4375,2012-01-01
131382,5727,2015-01-01
74607,2542,2016-09-01
74517,627,2018-07-01
3538,605,2020-10-02
3590,680,2019-08-05
76349,4558,2017-06-17
210727,946,2012-08-15
7292,605,2021-07-23
10652,605,2015-07-08
100241,605,2020-10-02
137396,605,2019-08-31
3682,694,2017-09-29
74138,11147,2014-09-25
100398,3325,2012-07-01
3721,3318,2017-08-01
74553,694,2013-08-30
74134,3319,2015-08-31
42951,2606,2017-07-27
290767,605,2022-08-31
3516,3317,2010-01-30
69190,7507,2019-09-10
145753,7507,2018-09-01
115767,15106,2015-01-01
210348,3885,2014-08-29
3833,3319,2021-01-30
385976,20139,2011-08-01
109622,609,2022-07-01
160977,3885,2018-01-30
74504,627,2018-07-01
3603,3595,2022-07-01
3611,3320,2020-09-28
119355,3499,2022-08-19
109531,3322,2017-02-02
74655,14395,2018-07-02
74611,4330,2016-08-01
3691,3339,2022-07-01
297536,2265,2022-07-01
204138,4132,2021-08-18
157190,4132,2016-01-06
3613,3320,2020-08-12
107484,14281,2020-01-16
133922,14281,2022-07-01
3601,12733,2020-08-19
3593,12733,2020-08-06
3511,12772,2020-07-30
47940,2167,2019-02-23
145759,7507,2016-09-01
4275,3838,2015-09-11
210976,11147,2013-10-20
268119,3334,2015-09-11
3656,4671,2023-09-21
286675,17740,2022-09-29
338315,3334,2023-09-21
3615,3334,2023-09-20
4274,3334,2018-08-01
341031,3334,2023-09-21
145758,11147,2013-10-20
286676,3836,2022-08-31
3461,20406,2023-07-01
3550,648,2016-06-22
80531,605,2021-08-28
286995,3327,2021-08-01
3596,581,2020-02-01
3489,12832,2021-07-16
32361,605,2023-08-24
3600,609,2020-07-31
11312,953,2018-07-03
74645,3325,2023-01-14
326790,2504,2023-07-01
156144,605,2021-07-15
54647,214,2016-08-01
3920,3325,2019-07-02
27080,605,2018-08-31
3723,3318,2018-08-01
284890,9030,2022-01-10
54418,7858,2017-01-18
146044,1483,2020-09-11
61881,3575,2018-08-21
1249,631,2016-01-04
3606,616,2019-07-01
135857,2110,2021-07-01
3608,9390,2019-08-01
109559,2265,2018-07-10
53545,1082,2016-01-13
48211,374,2019-02-03
137403,3885,2020-01-31
74610,3320,2016-08-15
11012,605,2017-08-02
3614,680,2020-01-07
3759,5499,2023-01-22
4336,3339,2023-08-28
37022,9234,2017-01-31
4277,3334,2018-08-01
28476,2391,2017-08-25
74545,609,2018-07-20
3665,2261,2019-01-05
3631,3320,2020-09-01
3716,14392,2021-01-31
280272,4487,2022-07-01
27247,2111,2018-08-21
3530,708,2021-07-01
145754,3318,2011-08-31
268404,10726,2019-09-01
3553,3836,2023-09-15
3607,3326,2019-08-31
265515,3321,2021-07-01
3727,3339,2017-08-11
3666,3336,2023-08-03
363898,605,2024-07-01
74510,2256,2012-07-25
3539,3317,2024-01-31
3589,708,2019-07-04
387450,3333,2023-09-12
109589,609,2022-06-30
314303,605,2023-08-14
382272,605,2023-07-01
321770,605,2021-07-05
109578,605,2023-07-01
444167,605,2024-07-01
439536,605,2023-08-13
291977,605,2024-01-06
385740,605,2023-08-31
136060,605,2023-08-24
3885,605,2022-08-31
281283,605,2022-08-31
368911,605,2023-09-01
354203,605,2023-08-24
290148,605,2023-07-19
161679,605,2022-01-14
4353,605,2023-08-01
204066,605,2023-07-19
74636,605,2022-08-01
152714,605,2023-08-01
290151,605,2022-07-04
1832,605,2023-07-01
74539,14394,2019-03-11
3479,3319,2021-01-14
386261,3836,2023-01-27
3789,3340,2022-08-05
3623,3339,2020-09-14
3645,3340,2023-07-01
3572,694,2022-08-25
3588,2256,2021-07-01
257407,14008,2023-09-11
