player_id,full_name,firstname,lastname,age,team_id,league_id
2823,S. Lukić,Saša,Lukić,28,36,39
2932,J. Pickford,Jordan Lee,Pickford,30,45,39
19757,G. Rea,Glen Charles,Rea,30,1359,39
25916,M. Niakhaté,Moussa,Niakhaté,28,65,39
30407,C. Nørgaard,Christian,Thers Nørgaard,30,55,39
44811,S. McKenna,Scott,Fraser McKenna,28,65,39
135525,C. Ramsay,Calvin William,Ramsay,21,40,39
147835,A. Omobamidele,Andrew Abiola,Omobamidele,22,65,39
180866,Marcelo Pitaluga,Marcelo,de Araújo Pitaluga Filho,22,40,39
280688,T. Corbeanu,Theodor Alexander,Corbeanu,22,39,39
284239,O. Hesketh,Owen James Michael,Hesketh,22,39,39
284439,L. Sousa,Lino Gonçalo,da Cruz Sousa,19,42,39
284474,M. Olakigbe,Michael Oluwakorede,Olakigbe,20,55,39
284554,O. Goodman,Owen Olamidayo,Goodman,21,52,39
303010,D. Gore,Daniel,Gore,20,33,39
311520,Marquinhos,Marcus Vinicius,Oliveira Alencar,21,42,39
379626,C. Pettit,Casey,Pettit,22,1359,39
631,P. Foden,Philip Walter,Foden,24,50,39
1485,Bruno Fernandes,Bruno Miguel,Borges Fernandes,30,33,39
1590,José Sá,José Pedro,Malheiro de Sá,31,39,39
2784,R. Rúnarsson,Rúnar Alex,Rúnarsson,29,42,39
2869,E. Álvarez,Edson Omar,Álvarez Velázquez,27,48,39
18860,M. Travers,Mark,Travers,25,35,39
18968,Y. Bissouma,Yves,Bissouma,28,47,39
18970,P. Groß,Pascal,Groß,33,51,39
19170,M. Rogers,Morgan Elliot,Rogers,22,66,39
19366,O. Watkins,Oliver George Arthur,Watkins,29,66,39
61431,J. Kiwior,Jakub Piotr,Kiwior,24,42,39
116117,M. Caicedo,Moisés Isaac,Caicedo Corozo,23,"49, 51",39
136723,N. Madueke,Chukwunonso Tristan,Madueke,22,49,39
138806,B. Williams,Brandon Paul Brian,Williams,24,33,39
144723,K. Hegyi,Krisztián,Hegyi,22,48,39
154807,D. Chesters,Daniel Peter James,Chesters,22,48,39
288699,M. Perrone,Máximo,Perrone,21,50,39
296121,J. Hinchy,Jack Samuel Lawrence,Hinchy,21,51,39
338856,N. Lemina,Pascal Noha,Lemina,19,39,39
341641,Rodrigo Ribeiro,Rodrigo,Duarte Ribeiro,19,65,39
303,R. Brewster,Rhian Joel,Brewster,24,62,39
2028,I. Coulibaly,Ismaila Cheick,Coulibaly,24,62,39
2273,Kepa,Kepa,Arrizabalaga Revuelta,30,49,39
10169,Vinicius Souza,Vinicius,de Souza Costa,25,62,39
19102,J. Fleck,John Alexander,Fleck,33,62,39
19105,O. Norwood,Oliver James,Norwood,33,62,39
19302,B. Osborn,Benjamin Jarrod,Osborn,30,62,39
19337,O. McBurnie,Oliver Robert,McBurnie,28,62,39
19485,B. Brereton,Benjamin Anthony,Brereton Díaz,25,62,39
36929,G. Hamer,Gustavo Martin Emilio,Hamer,27,62,39
137302,C. Archer,Cameron Desmond,Archer,23,"62, 66",39
158697,J. McAtee,James John,McAtee,22,"62, 50",39
199310,A. Ben Slimane,Anis,Ben Slimane,23,62,39
296458,D. Jebbison,Daniel David,Jebbison,21,62,39
312256,S. Peck,Sydie,Peck,20,62,39
315237,W. Osula,William Idamudia,Daugaard Osula,21,62,39
373615,R. Oné,Ryan,Oné,18,62,39
379150,A. Brooks,Andre,Chance Brooks,21,62,39
386307,E. Easton,Evan,Easton,19,62,39
395209,J. Buyabu,Jili,Buyabu,21,62,39
22,J. Bruun Larsen,Jacob,Bruun Larsen,26,44,39
1736,W. Foderingham,Wesley Andrew,Foderingham,33,62,39
1949,A. Ahmedhodžić,Anel,Ahmedhodžić,25,62,39
14382,I. Grbić,Ivo,Grbić,28,62,39
17407,F. Seriki,Oluwafemi Ibrahim,Seriki,22,62,39
18331,R. Norrington-Davies,Rhys,Llewelyn Norrington-Davies,25,62,39
19090,G. Baldock,George Henry Ivor,Baldock,31,62,39
19091,C. Basham,Christopher Paul,Basham,36,62,39
19093,J. Egan,John,Egan,32,62,39
19201,J. Bogle,Jayden Ian,Bogle,24,62,39
19294,J. Robinson,Jack,Robinson,31,62,39
19779,A. Davies,Adam Rhys,Davies,32,62,39
44809,M. Lowe,Max Josef,Lowe,27,62,39
50737,A. Trusty,Auston Levi-Jesaiah,Trusty,26,"62, 42",39
138828,Y. Larouci,Yasser,Larouci,23,62,39
291476,D. Fofana,David Datro,Fofana,22,44,39
328126,J. Amissah,Jordan,Yamoah Amissah,23,62,39
336564,W. Odobert,Wilson Serge Eric,Odobert,20,44,39
359603,L. Koleosho,Luca Warrick Daeovie,Koleosho,20,44,39
361388,E. Agyei,Enock,Atta Agyei,19,44,39
110,H. Massengo,Han-Noah,Massengo,23,44,39
1411,H. Delcroix,Hannes,Delcroix,25,44,39
1934,S. Berge,Sander Gard,Bolin Berge,26,"44, 62",39
2790,J. Guðmunds­son,Jóhann Berg,Guðmunds­son,34,44,39
8589,B. Manuel,Benson,Manuel Hedilazio,27,44,39
8661,Vitinho,Victor Alexander,da Silva,25,44,39
18922,J. Cork,Jack Frank,Porteous Cork,35,44,39
18948,N. Redmond,Nathan Daniel Jerome,Redmond,30,44,39
19169,J. Rodríguez,Jay Enrique,Rodríguez,35,44,39
19268,J. Brownhill,Joshua,Brownhill,29,44,39
19331,C. Roberts,Connor Richard John,Roberts,29,44,39
19827,J. Cullen,Joshua Jon,Cullen,28,44,39
25628,J. Beyer,Louis Jordan,Beyer,24,44,39
37381,M. Trésor,Mike,Trésor Ndayishimiye,25,44,39
47903,H. Ekdal,Hjalmar,Ekdal,26,44,39
98936,L. Foster,Lyle Brent,Foster,24,44,39
123469,Z. Amdouni,Mohamed Zeki,Amdouni,24,44,39
129169,A. Zaroury,Anass,Zaroury,24,44,39
181827,C. Egan-Riley,Conrad Jaden,Egan-Riley,21,44,39
323449,A. Al Dakhil,Ameen,Al Dakhil,22,44,39
83,A. Danjuma,Arnaut,Danjuma Adam Groeneveld,27,45,39
172,D. Alli,Bamidele Jermaine,Alli,28,45,39
616,A. Murić,Arijanet,Murić,26,44,39
895,J. Garner,James David,Garner,23,45,39
2549,L. Vigouroux,Lawrence Ian,Vigouroux,31,44,39
2990,I. Gueye,Idrissa Gana,Gueye,35,45,39
17597,D. O&apos;Shea,Dara Joseph,O'Shea,25,44,39
18765,André Gomes,André Filipe,Tavares Gomes,31,45,39
18766,D. Calvert-Lewin,Dominic Nathaniel,Calvert-Lewin,27,45,39
18805,A. Doucouré,Abdoulaye,Doucouré,31,45,39
18918,C. Taylor,Charles James,Taylor,31,44,39
18929,D. McNeil,Dwight James Matthew,McNeil,25,45,39
125743,Beto,Norberto Bercique,Gomes Betuncal,26,45,39
