name,firstname,lastname,age,team_id,league_id
J. Cullen,Joshua Jon,Cullen,27,44,39
D. Pereira,Dion Enrico,Pereira Greives,24,1359,39
M. Guéhi,Addji Keaninkin Marc-Israel,Guéhi,23,52,39
K. Watts,Kelland John William James,Watts,24,34,39
J. McAtee,John George,McAtee,24,1359,39
H. White,Harvey David,White,22,47,39
K. Hegyi,Krisztián,Hegyi,21,48,39
J. Trafford,James Harrington,Trafford,21,44,39
A. Onana,Amadou Ba Zeund Georges,Mvom Onana,22,45,39
J. Taylor,Joseph  William John,Taylor,21,1359,39
C. Peupion,Cameron Paul Jacques,Peupion,21,51,39
K. Phillips,Killian,Phillips,21,52,39
L. Plange,Luke Elliot,Plange,21,52,39
O. Dodgson,Owen Joel,Dodgson,20,44,39
Andrey Santos,Andrey,Nascimento dos Santos,19,"65, 49",39
O. Hammond,Oliver Jack,Hammond,21,65,39
L. Marsh,Louie,Marsh,19,62,39
P. Højbjerg,Pierre-Emile Kordt,Højbjerg,28,47,39
G. Rea,Glen Charles,Rea,29,1359,39
M. Macey,Matthew Ryan,Macey,29,1359,39
O. Mangala,Orel Johnson,Mangala,25,65,39
J. Enciso,Julio César,Enciso Espínola,19,51,39
Y. Larouci,Yasser,Larouci,22,62,39
T. Harwood-Bellis,Taylor Jay,Harwood-Bellis,21,50,39
A. Pepple,Aribusitamunoipirim Emmanuel,Pepple,21,1359,39
M. van de Ven,Micky,van de Ven,22,47,39
L. Watson,Louie Shaun,Watson,22,1359,39
M. Leonard,Marc Henry,Leonard,22,51,39
T. Crama,Tristan,Crama,22,55,39
J. Gordon,John-Kymani Linton,Michael Gordon,20,52,39
M. Cox,Matthew Aidan,Cox,20,55,39
E. Turns,Edward James,Turns,21,51,39
S. Mills,Stanley,Mills,20,45,39
H. Griffiths,Harvey,Lawson Griffiths,20,39,39
O. Goodman,Owen Olamidayo,Goodman,20,52,39
J. Donley,Jamie,Donley,18,47,39
C. Pettit,Casey,Pettit,21,1359,39
Carlos Vinícius,Carlos Vinícius,Alves Morais,28,36,39
F. Ballo-Touré,Fodé,Ballo-Touré,26,36,39
Andreas Pereira,Andreas Hugo,Hoelgebaum Pereira,27,36,39
A. Iwobi,Alexander Chuka,Iwobi,27,"36, 45",39
Willian,Willian,Borges da Silva,35,36,39
S. Lukić,Saša,Lukić,27,36,39
R. Jiménez,Raúl Alonso,Jiménez Rodríguez,32,"36, 39",39
T. Castagne,Timothy,Castagne,28,36,39
I. Diop,Issa Laye Lucas Jean,Diop,26,36,39
B. De Cordova-Reid,Bobby Armani,De Cordova-Reid,30,36,39
T. Cairney,Thomas,Cairney,32,36,39
H. Wilson,Harry,Wilson,26,36,39
