player_id,reference_team,reference_date,team_id,p_firstname,p_lastname,p_age,p_nationality,season
25843,3885,2017-06-15 00:00:00,,,,,,2016.0
3609,4552,2023-07-04 00:00:00,,,,,,2022.0
24639,685,2021-08-01 00:00:00,,,,,,2020.0
3940,3885,2018-01-25 00:00:00,,,,,,2017.0
43044,4801,2023-01-01 00:00:00,,,,,,2022.0
91431,957,2023-07-01 00:00:00,,,,,,2022.0
106216,577,2013-01-30 00:00:00,,,,,,2012.0
14500,2256,2020-10-01 00:00:00,,,,,,2019.0
80162,148,2023-04-06 00:00:00,,,,,,2022.0
80698,142,2017-01-02 00:00:00,,,,,,2016.0
127580,577,2022-08-24 00:00:00,,,,,,2021.0
16200,4322,2021-06-21 00:00:00,,,,,,2020.0
7476,1397,2022-01-24 00:00:00,,,,,,2021.0
66105,577,2018-07-01 00:00:00,,,,,,2017.0
87027,648,2019-02-02 00:00:00,,,,,,2018.0
55892,2589,2021-07-01 00:00:00,,,,,,2020.0
80099,4196,2020-02-01 00:00:00,,,,,,2019.0
14635,4659,2023-02-19 00:00:00,,,,,,2022.0
125709,577,2020-01-31 00:00:00,,,,,,2019.0
11003,577,2022-08-15 00:00:00,,,,,,2021.0
3492,2589,2020-01-20 00:00:00,,,,,,2019.0
4016,3332,2015-09-11 00:00:00,,,,,,2014.0
3987,2261,2010-09-01 00:00:00,,,,,,2009.0
7282,1396,2017-07-01 00:00:00,,,,,,2016.0
93757,605,2020-01-31 00:00:00,,,,,,2019.0
211635,374,2011-01-01 00:00:00,,,,,,2010.0
145730,4346,2020-09-02 00:00:00,,,,,,2019.0
74594,4132,2016-07-01 00:00:00,,,,,,2015.0
199633,4633,2022-03-29 00:00:00,,,,,,2021.0
29772,2733,2019-01-06 00:00:00,,,,,,2018.0
110200,666,2015-07-01 00:00:00,,,,,,2014.0
4242,3334,2016-09-20 00:00:00,,,,,,2015.0
3784,3319,2020-01-24 00:00:00,,,,,,2019.0
3770,694,2020-08-15 00:00:00,,,,,,2019.0
3625,694,2013-08-30 00:00:00,,,,,,2012.0
4093,3320,2014-07-01 00:00:00,,,,,,2013.0
3899,605,2020-10-02 00:00:00,,,,,,2019.0
147958,9787,2020-11-06 00:00:00,,,,,,2019.0
180983,9809,2019-11-30 00:00:00,,,,,,2018.0
3610,3749,2019-07-01 00:00:00,,,,,,2018.0
4297,3325,2010-07-01 00:00:00,,,,,,2009.0
3627,605,2019-08-08 00:00:00,,,,,,2018.0
137453,605,2019-08-31 00:00:00,,,,,,2018.0
166369,2261,2013-01-30 00:00:00,,,,,,2012.0
210840,2261,2015-02-05 00:00:00,,,,,,2014.0
210954,3328,2011-08-31 00:00:00,,,,,,2010.0
211793,3382,2012-01-16 00:00:00,,,,,,2011.0
211801,3838,2015-09-01 00:00:00,,,,,,2014.0
211737,605,2012-08-31 00:00:00,,,,,,2011.0
105663,680,2018-06-01 00:00:00,,,,,,2017.0
3930,3322,2017-09-01 00:00:00,,,,,,2016.0
