team_id,player_id,p_firstname,p_lastname,p_age,p_nationality,season
708,321757,Mateo,Kocijan,29.0,Croatia,2023
708,338111,Xhafer,Hodo,21.0,Albania,2023
708,350187,Klevis,Dragaj,21.0,Albania,2023
708,382274,Christian,Mba,25.0,Nigeria,2023
708,382524,Endri,Çelaj,20.0,Albania,2023
708,390633,Boid,Nako,19.0,Albania,2023
708,431893,Shkambi,Baruti,20.0,Kosovo,2023
708,431894,Rildi,Greca,20.0,Albania,2023
708,3453,Alban,Hoxha,37.0,Albania,2023
708,3512,Pano,Qirko,25.0,Albania,2023
708,3530,Arinaldo,Rrapaj,23.0,Albania,2023
708,3902,Andi,Hadroj,25.0,Albania,2023
708,3911,Valentino,Murataj,28.0,Albania,2023
708,4227,Eljon,Sota,26.0,Albania,2023
708,27247,Emiljano,Vila,36.0,Albania,2023
708,48587,Gjelbrim,Taipi,32.0,Kosovo,2023
708,74667,Altin,Bytyçi,23.0,Kosovo,2023
708,109620,David,Atanaskoski,28.0,North Macedonia,2023
708,195759,Andi,Janjeva,22.0,Kosovo,2023
708,282899,Marçelino,Preka,21.0,Albania,2023
708,290619,Leart,Zekolli,23.0,Kosovo,2023
708,295302,Adnard,Mehmeti,23.0,Kosovo,2023
708,334014,Maguette,Gueye,22.0,Senegal,2023
708,340944,Saliou Pape,Sembene,23.0,Senegal,2023
708,360423,Paulo,Buxhelaj,21.0,Albania,2023
708,373464,Redon,Ismaili,22.0,Kosovo,2023
708,390634,Gjergji,Kote,20.0,Albania,2023
708,407298,Skander,Tahri,19.0,Albania,2023
708,1751,Eros,Grezda,29.0,Albania,2023
708,3477,Bruno,Telushi,34.0,Albania,2023
708,3589,Aldo,Teqja,29.0,Albania,2023
708,3713,Eneo,Bitri,28.0,Albania,2023
708,89063,Remzifaik,Selmani,27.0,North Macedonia,2023
708,109589,Bekim,Redjepi,28.0,North Macedonia,2023
708,196831,Dionis,Çikani,25.0,Albania,2023
708,269597,Engjëll,Hoti,27.0,Kosovo,2023
708,315670,Mateo,Jaupllari,20.0,Albania,2023
708,330362,Fabian,Albano Shahaj,22.0,Albania,2023
708,373459,Ermir,Spahiu,22.0,Albania,2023
708,416637,Orjel,Murati,22.0,Albania,2023
2256,3495,William,Cordeiro Melo,31.0,Brazil,2023
2256,3551,Klinti,Qato,27.0,Albania,2023
2256,3586,Fatmir,Prengaj,22.0,Albania,2023
2256,3915,Serxho,Ujka,26.0,Albania,2023
2256,4139,Isi,Manellari,26.0,Albania,2023
2256,71578,Florian,Trokthi,22.0,Albania,2023
2256,128188,Arbër,Mehmetllari,23.0,Albania,2023
2256,152715,Daniel Justino,de Carvalho Luiz,31.0,Brazil,2023
2256,156919,Ronald,Sobowale,27.0,England,2023
2256,157998,Altin,Kryeziu,22.0,Kosovo,2023
2256,189040,Nikolin,Duka,23.0,Albania,2023
2256,302089,Christian Matheus,Lima da Silva,26.0,Brazil,2023
